Scenario,Algorithm,Grid,Uncovered%,Win,Flagged%
"(16, 16, 100)",Abel 4x4 100k 100,10,2.734375,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,10,0.78125,0,-
"(16, 16, 100)",Kane + MCTS,10,3.125,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,11,6.25,0,-
"(16, 16, 100)",Abel 16x16 750 100k,11,1.953125,0,-
"(16, 16, 100)",Abel 4x4 100k 100,11,1.5625,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,11,2.34375,0,-
"(16, 16, 100)",Kane + MCTS,11,0.390625,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,12,0.78125,0,-
"(16, 16, 100)",Abel 16x16 750 100k,12,0.78125,0,-
"(16, 16, 100)",Abel 4x4 100k 100,12,0.390625,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,12,1.5625,0,-
"(16, 16, 100)",Kane + MCTS,12,1.953125,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,13,1.5625,0,-
"(16, 16, 100)",Abel 16x16 750 100k,13,2.734375,0,-
"(16, 16, 100)",Abel 4x4 100k 100,13,4.296875,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,13,0.78125,0,-
"(16, 16, 100)",Kane + MCTS,13,1.953125,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,14,0.78125,0,-
"(16, 16, 100)",Abel 16x16 750 100k,14,3.515625,0,-
"(16, 16, 100)",Abel 4x4 100k 100,14,2.734375,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,14,1.5625,0,-
"(16, 16, 100)",Kane + MCTS,14,4.6875,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,15,2.34375,0,-
"(16, 16, 100)",Abel 16x16 750 100k,15,0.390625,0,-
"(16, 16, 100)",Abel 4x4 100k 100,15,0.78125,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,15,0.78125,0,-
"(16, 16, 100)",Kane + MCTS,15,0.78125,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,16,0.390625,0,-
"(16, 16, 100)",Abel 16x16 750 100k,16,0.390625,0,-
"(16, 16, 100)",Abel 4x4 100k 100,16,0.390625,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,16,1.5625,0,-
"(16, 16, 100)",Kane + MCTS,16,1.171875,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,17,2.34375,0,-
"(16, 16, 100)",Abel 16x16 750 100k,17,1.171875,0,-
"(16, 16, 100)",Abel 4x4 100k 100,17,3.90625,0,-
