Scenario,Algorithm,Grid,Uncovered%,Win,Initial Uncovered%,DifferenceUncovered%
"(16, 16, 100)",Abel 16x16 2000 10k,12,4.6875,0,0.390625,4.296875
"(16, 16, 100)",Abel 16x16 750 100k,12,1.953125,0,0.390625,1.5625
"(16, 16, 100)",Abel 4x4 100k 100,12,2.34375,0,0.390625,1.953125
"(16, 16, 100)",Abel 8x8 10k 1k,12,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Kane + MCTS,12,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 16x16 2000 10k,13,3.90625,0,0.390625,3.515625
"(16, 16, 100)",Abel 16x16 750 100k,13,2.734375,0,0.390625,2.34375
"(16, 16, 100)",Abel 4x4 100k 100,13,6.25,0,0.390625,5.859375
"(16, 16, 100)",Abel 8x8 10k 1k,13,3.515625,0,0.390625,3.125
"(16, 16, 100)",Kane + MCTS,13,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 16x16 2000 10k,14,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 16x16 750 100k,14,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 4x4 100k 100,14,6.640625,0,0.390625,6.25
"(16, 16, 100)",Abel 8x8 10k 1k,14,6.25,0,0.390625,5.859375
"(16, 16, 100)",Kane + MCTS,14,5.859375,0,0.390625,5.46875
"(16, 16, 100)",Abel 16x16 2000 10k,15,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 16x16 750 100k,15,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 4x4 100k 100,15,7.8125,0,0.390625,7.421875
"(16, 16, 100)",Abel 8x8 10k 1k,15,6.640625,0,0.390625,6.25
"(16, 16, 100)",Kane + MCTS,15,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 16x16 2000 10k,16,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 16x16 750 100k,16,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 4x4 100k 100,16,6.640625,0,0.390625,6.25
"(16, 16, 100)",Abel 8x8 10k 1k,16,3.515625,0,0.390625,3.125
"(16, 16, 100)",Kane + MCTS,16,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 16x16 2000 10k,17,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 16x16 750 100k,17,3.515625,0,0.390625,3.125
"(16, 16, 100)",Abel 4x4 100k 100,17,3.90625,0,0.390625,3.515625
"(16, 16, 100)",Abel 8x8 10k 1k,17,3.515625,0,0.390625,3.125
"(16, 16, 100)",Kane + MCTS,17,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 16x16 2000 10k,18,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 16x16 750 100k,18,2.734375,0,0.390625,2.34375
"(16, 16, 100)",Abel 4x4 100k 100,18,8.203125,0,0.390625,7.8125
"(16, 16, 100)",Abel 8x8 10k 1k,18,5.078125,0,0.390625,4.6875
"(16, 16, 100)",Kane + MCTS,18,3.515625,0,0.390625,3.125
"(16, 16, 100)",Abel 16x16 2000 10k,19,2.734375,0,0.390625,2.34375
"(16, 16, 100)",Abel 16x16 750 100k,19,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 4x4 100k 100,19,10.15625,0,0.390625,9.765625
"(16, 16, 100)",Abel 8x8 10k 1k,19,3.90625,0,0.390625,3.515625
"(16, 16, 100)",Kane + MCTS,19,3.125,0,0.390625,2.734375
"(16, 16, 100)",Abel 16x16 2000 10k,20,5.46875,0,2.34375,3.125
"(16, 16, 100)",Abel 16x16 750 100k,20,3.125,0,2.34375,0.78125
"(16, 16, 100)",Abel 4x4 100k 100,20,5.46875,0,2.34375,3.125
"(16, 16, 100)",Abel 8x8 10k 1k,20,3.125,0,2.34375,0.78125
"(16, 16, 100)",Kane + MCTS,20,2.734375,0,2.34375,0.390625
"(16, 16, 40)",Abel 16x16 2000 10k,1,5.859375,0,3.515625,2.34375
"(16, 16, 40)",Abel 16x16 750 100k,1,6.25,0,3.515625,2.734375
